,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,Napoli,3-5-2,1.0,0.0,W,1.0,6.0,1.0,16.7,0.17,1.0,11.8,0.0,0.0,Internazionale,2022
22,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Away,Monza,3-5-2,2.0,2.0,D,2.0,11.0,3.0,27.3,0.18,0.67,13.9,0.0,0.0,Internazionale,2022
23,2023-01-10,21:00,Coppa Italia,Round of 16,Tue,Home,Parma,3-5-2,2.0,1.0,W,2.0,11.0,4.0,36.4,0.18,0.5,,0.0,0.0,Internazionale,2022
24,2023-01-14,20:45,Serie A,Matchweek 18,Sat,Home,Hellas Verona,3-5-2,1.0,0.0,W,1.0,11.0,3.0,27.3,0.09,0.33,19.0,0.0,0.0,Internazionale,2022
25,2023-01-18,22:00,Supercoppa Italiana,Supercoppa Italiana,Wed,Away,Milan,3-5-2,3.0,0.0,W,3.0,12.0,6.0,50.0,0.25,0.5,,0.0,0.0,Internazionale,2022
26,2023-01-23,20:45,Serie A,Matchweek 19,Mon,Home,Empoli,3-5-2,0.0,1.0,L,0.0,16.0,1.0,6.3,0.0,0.0,15.0,0.0,0.0,Internazionale,2022
27,2023-01-28,18:00,Serie A,Matchweek 20,Sat,Away,Cremonese,3-5-2,2.0,1.0,W,2.0,30.0,10.0,33.3,0.07,0.2,15.4,0.0,0.0,Internazionale,2022
28,2023-01-31,21:00,Coppa Italia,Quarter-finals,Tue,Home,Atalanta,3-5-2,1.0,0.0,W,1.0,14.0,3.0,21.4,0.07,0.33,,0.0,0.0,Internazionale,2022
29,2023-02-05,20:45,Serie A,Matchweek 21,Sun,Home,Milan,3-5-2,1.0,0.0,W,1.0,15.0,4.0,26.7,0.07,0.25,18.5,0.0,0.0,Internazionale,2022
30,2023-02-13,20:45,Serie A,Matchweek 22,Mon,Away,Sampdoria,3-5-2,0.0,0.0,D,0.0,25.0,5.0,20.0,0.0,0.0,18.0,0.0,0.0,Internazionale,2022
31,2023-02-18,20:45,Serie A,Matchweek 23,Sat,Home,Udinese,3-5-2,3.0,1.0,W,3.0,18.0,6.0,33.3,0.11,0.33,18.1,1.0,1.0,Internazionale,2022
32,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Home,pt Porto,3-5-2,1.0,0.0,W,1.0,18.0,4.0,22.2,0.06,0.25,16.8,0.0,0.0,Internazionale,2022
33,2023-02-26,12:30,Serie A,Matchweek 24,Sun,Away,Bologna,3-1-4-2,0.0,1.0,L,0.0,13.0,4.0,30.8,0.0,0.0,18.8,0.0,0.0,Internazionale,2022
34,2023-03-05,18:00,Serie A,Matchweek 25,Sun,Home,Lecce,3-5-2,2.0,0.0,W,2.0,14.0,4.0,28.6,0.14,0.5,17.9,0.0,0.0,Internazionale,2022
35,2023-03-10,20:45,Serie A,Matchweek 26,Fri,Away,Spezia,3-5-2,1.0,2.0,L,1.0,26.0,5.0,19.2,0.0,0.0,16.9,1.0,2.0,Internazionale,2022
